"url_original_gsc","normalized_url","apex_host","clicks","impressions","ctr","position","page_type"
"https://www.alefotografo.com.br/fotografo-corporativo/retratos-de-medicas","https://www.alefotografo.com.br/fotografo-corporativo/retratos-de-medicas","NAO","46","1447","3.18%","6.54","MONEY"
"https://www.alefotografo.com.br/blog/fotografia-em-preto-e-branco-como-tirar-fotos-lindas","https://www.alefotografo.com.br/blog/fotografia-em-preto-e-branco-como-tirar-fotos-lindas","NAO","38","14916","0.25%","5.98","BLOG"
"https://www.alefotografo.com.br/blog/posicionamento-e-reposicionamento-de-imagem-voce-sabe-qual-a-diferenca","https://www.alefotografo.com.br/blog/posicionamento-e-reposicionamento-de-imagem-voce-sabe-qual-a-diferenca","NAO","29","9408","0.31%","5.92","BLOG"
"https://www.alefotografo.com.br/blog/como-explorar-a-foto-de-capa-do-seu-perfil-no-linkedin","https://www.alefotografo.com.br/blog/como-explorar-a-foto-de-capa-do-seu-perfil-no-linkedin","NAO","28","8344","0.34%","8.55","BLOG"
"https://www.alefotografo.com.br/fotografo-corporativo/retrato-corporativo","https://www.alefotografo.com.br/fotografo-corporativo/retrato-corporativo","NAO","26","3225","0.81%","19.1","MONEY"
"https://www.alefotografo.com.br/blog/posicionamento-de-imagem-profissional-o-que-e-e-como-aplicar","https://www.alefotografo.com.br/blog/posicionamento-de-imagem-profissional-o-que-e-e-como-aplicar","NAO","25","3294","0.76%","5.38","BLOG"
"https://www.alefotografo.com.br/fotografo-corporativo/categoria/foto-para-linkedin","https://www.alefotografo.com.br/fotografo-corporativo/categoria/foto-para-linkedin","NAO","19","1821","1.04%","7.83","MONEY"
"https://www.alefotografo.com.br/blog/engenharia-de-cardapio-7-tecnicas-incriveis-para-aumentar-suas-vendas","https://www.alefotografo.com.br/blog/engenharia-de-cardapio-7-tecnicas-incriveis-para-aumentar-suas-vendas","NAO","18","1611","1.12%","7.2","BLOG"
"https://www.alefotografo.com.br/videos-para-empresas/video-institucional-rocha-queiroz-advogados","https://www.alefotografo.com.br/videos-para-empresas/video-institucional-rocha-queiroz-advogados","NAO","17","3591","0.47%","9.19","VIDEO_SERVICE"
"https://www.alefotografo.com.br/fotografo-corporativo/fotos-para-clinicas-medicas","https://www.alefotografo.com.br/fotografo-corporativo/fotos-para-clinicas-medicas","NAO","17","3112","0.55%","3.97","MONEY"
